epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,255.331,1.29199,1.41113,1.50624,0.86794,0.39024,0.47142,0.29267,1.27608,2.00594,1.31553,0.000395752,0.000395752,0.000395752
76,258.2,1.30551,1.35197,1.61768,0.86794,0.39024,0.47142,0.29267,1.27608,2.00594,1.31553,0.00038625,0.00038625,0.00038625
77,260.894,1.16337,1.27646,1.19149,0.86794,0.39024,0.47142,0.29267,1.27608,2.00594,1.31553,0.000376352,0.000376352,0.000376352
78,263.893,1.28812,1.16832,1.26781,0.83746,0.36585,0.45,0.30189,1.27113,1.47354,1.3223,0.000366058,0.000366058,0.000366058
79,267.507,0.9686,0.9614,1.20463,0.83746,0.36585,0.45,0.30189,1.27113,1.47354,1.3223,0.000355368,0.000355368,0.000355368
80,271.151,1.06974,0.93713,1.31674,0.83746,0.36585,0.45,0.30189,1.27113,1.47354,1.3223,0.000344282,0.000344282,0.000344282
81,274.821,1.59266,1.38714,1.43206,0.78093,0.36585,0.42949,0.27557,1.31235,1.30223,1.31444,0.0003328,0.0003328,0.0003328
82,277.698,1.18276,1.06246,1.29926,0.78093,0.36585,0.42949,0.27557,1.31235,1.30223,1.31444,0.000320922,0.000320922,0.000320922
83,281.305,1.32172,1.0478,1.19063,0.78093,0.36585,0.42949,0.27557,1.31235,1.30223,1.31444,0.000308648,0.000308648,0.000308648
84,284.705,1.15506,1.08041,1.35417,0.74139,0.34989,0.43799,0.27453,1.36168,1.43133,1.34825,0.000295978,0.000295978,0.000295978
85,287.79,1.32165,1.05061,1.24671,0.74139,0.34989,0.43799,0.27453,1.36168,1.43133,1.34825,0.000282912,0.000282912,0.000282912
86,291.344,1.27969,1.02552,1.24535,0.74139,0.34989,0.43799,0.27453,1.36168,1.43133,1.34825,0.00026945,0.00026945,0.00026945
87,295.728,1.3217,0.9661,1.15304,0.74139,0.34989,0.43799,0.27453,1.36168,1.43133,1.34825,0.000255592,0.000255592,0.000255592
88,299.317,1.2126,1.06213,1.66252,0.67454,0.4878,0.4924,0.297,1.34114,1.41052,1.34627,0.000241338,0.000241338,0.000241338
89,302.578,1.49129,1.1087,1.43574,0.67454,0.4878,0.4924,0.297,1.34114,1.41052,1.34627,0.000226688,0.000226688,0.000226688
90,305.925,1.35739,1.11231,1.35565,0.67454,0.4878,0.4924,0.297,1.34114,1.41052,1.34627,0.000211642,0.000211642,0.000211642
91,309.21,1.27064,1.03716,1.19443,0.67454,0.4878,0.4924,0.297,1.34114,1.41052,1.34627,0.0001962,0.0001962,0.0001962
92,314.062,1.0223,0.89344,1.12422,1,0.44346,0.52553,0.31753,1.29682,1.3484,1.33623,0.000180362,0.000180362,0.000180362
93,317.66,1.17077,0.96785,1.21301,1,0.44346,0.52553,0.31753,1.29682,1.3484,1.33623,0.000164128,0.000164128,0.000164128
94,320.88,1.13843,0.99085,1.12248,1,0.44346,0.52553,0.31753,1.29682,1.3484,1.33623,0.000147498,0.000147498,0.000147498
95,324.249,1.14703,0.9371,1.18491,1,0.44346,0.52553,0.31753,1.29682,1.3484,1.33623,0.000130472,0.000130472,0.000130472
96,328.386,1.06639,0.99809,1.19556,1,0.43485,0.51683,0.32623,1.27399,1.29059,1.3329,0.00011305,0.00011305,0.00011305
97,331.917,0.98644,0.93458,1.14193,1,0.43485,0.51683,0.32623,1.27399,1.29059,1.3329,9.5232e-05,9.5232e-05,9.5232e-05
98,336.909,1.0281,0.81844,1.08574,1,0.43485,0.51683,0.32623,1.27399,1.29059,1.3329,7.7018e-05,7.7018e-05,7.7018e-05
99,341.385,1.18589,1.2236,1.23852,1,0.43485,0.51683,0.32623,1.27399,1.29059,1.3329,5.8408e-05,5.8408e-05,5.8408e-05
100,347.995,1.0947,0.94273,1.14966,0.96255,0.43902,0.52302,0.33391,1.26816,1.17898,1.32324,3.9402e-05,3.9402e-05,3.9402e-05
